2995 31367
1572 rested 10
1573 un-stepped 1
1574 tried 13
1575 endure 3
1576 visible 1
1577 glow 7
1578 doesn 1
1579 sunrise 2
1580 cramps 3
1581 tight 9
1582 changed 3
1583 course 13
1584 direction 1
1585 46 1
1586 watch- 1
1587 stars 8
1588 dried 3
1589 legs 7
1590 during 2
1591 sack 5
1592 dry 4
1593 cau- 1
1594 tiously 1
1595 cushioned 1
1596 comfortable 4
1597 position 1
1598 actually 1
1599 somewhat 1
1600 intolerable 1
1601 keeps 3
1602 stood 3
1603 urinat 1
1604 ed 1
1605 checked 2
1606 phosphorescgnt 1
1607 streak 1
1608 eastward 3
1609 lose 5
1610 47 1
1611 grand 1
1612 wonder- 1
1613 ful 1
1614 radio 2
1615 doing 3
1616 this. 1
1617 unavoidably 1
1618 spoils 1
1619 matter 5
1620 porpoises 2
1621 rolling 1
1622 blowing 4
1623 male 8
1624 sighing 1
1625 blow 2
1626 female 4
1627 jokes 1
1628 brothers 5
1629 fish. 4
1630 ^ty 1
1631 wonderful 2
1632 acted 1
1633 strangely 1
1634 wise 1
1635 jump 9
1636 ruin 1
1637 48 1
1638 rush 3
1639 fight 13
1640 pulls 1
1641 plans 2
1642 desperate 1
1643 pair 1
1644 feed 6
1645 panic-stricken 1
1646 despairing 1
1647 exhausted 1
1648 stayed 6
1649 crossing 1
1650 afraid 5
1651 sharp 5
1652 scythe 2
1653 size 4
1654 galfed 1
1655 clubbed 4
1656 rapier 2
1657 bill 6
1658 sandpaper 1
1659 top 5
1660 colour 4
1661 backing 1
1662 mirrors 2
1663 aid 1
1664 aboard 1
1665 clearing 1
1666 preparing 1
1667 49 1
1668 jumped 9
1669 lavender 4
1670 pectoral 2
1671 wide 13
1672 stripes 8
1673 showing 4
1674 saddest 1
1675 begged 1
1676 pardon 1
1677 h^gheied 1
1678 promptly 1
1679 settled 7
1680 rounded 1
1681 whatever 2
1682 chosen 1
1683 treachery 2
1684 nec- 1
1685 essary 1
1686 choice 3
1687 beyond 3
1688 snares 1
1689 traps 2
1690 x^actysiies 1
1691 world 1
1692 joined 2
1693 gether 3
1694 surely 3
1695 gets 2
1696 50 1
1697 daylight 4
1698 begin 2
1699 gunwale 3
1700 loosened 1
1701 sheath 3
1702 knife 20
1703 wood 17
1704 closest 1
1705 loose 5
1706 ends 1
